iter	Logloss
0	0.5612475484
1	0.4988378544
2	0.4650383274
3	0.4206815114
4	0.321827847
5	0.2946336899
6	0.2827437065
7	0.2571684226
8	0.2280806827
9	0.2193291613
10	0.208611392
11	0.20309144
12	0.1951946846
13	0.190468158
14	0.184053387
15	0.1815559193
16	0.1781384482
17	0.1688588493
18	0.1669842043
19	0.1656464046
20	0.1574492496
21	0.1538297761
22	0.1528645262
23	0.1498668709
24	0.1492210991
25	0.14870863
26	0.1481842058
27	0.1442289665
28	0.1430244628
29	0.1411949327
30	0.1393490293
31	0.1376844001
32	0.1362078106
33	0.1359394979
34	0.1355588411
35	0.1349934411
36	0.1342821963
37	0.1339243688
38	0.133544207
39	0.1333945246
40	0.1331207669
41	0.1329183604
42	0.1314738551
43	0.130207945
44	0.1300895371
45	0.1291573496
46	0.1289067174
47	0.1284654138
48	0.1277822221
49	0.1276403188
50	0.1267547943
51	0.1264698648
52	0.1263659608
53	0.1262841093
54	0.1261548996
55	0.1256404742
56	0.1255700314
57	0.1252511378
58	0.1244908682
59	0.1243525971
60	0.1242369249
61	0.1240268762
62	0.1239596035
63	0.1236462918
64	0.123582413
65	0.1235095795
66	0.1234223198
67	0.1233784965
68	0.1228170446
69	0.1225899447
70	0.122517252
71	0.1224647885
72	0.1223801526
73	0.1223004193
74	0.1222582995
75	0.1219986677
76	0.1219343795
77	0.1218990594
78	0.1215465781
79	0.1215150864
80	0.1214360258
81	0.121378873
82	0.1213156353
83	0.1212892463
84	0.1212195157
85	0.1210055214
86	0.1208979838
87	0.1206417539
88	0.120494848
89	0.1203792956
90	0.1203534937
91	0.1202723913
92	0.1202415222
93	0.120136561
94	0.1201034512
95	0.1200465288
96	0.1200051778
97	0.119968349
98	0.1199286713
99	0.1199039818
100	0.1198778126
101	0.1197287581
102	0.1196934354
103	0.119517697
104	0.1194645173
105	0.1193851751
106	0.1193620469
107	0.1191863415
108	0.1191495719
109	0.1188832879
110	0.1188582337
111	0.1188279189
112	0.118803968
113	0.118781011
114	0.1187623287
115	0.1187251905
116	0.1186992885
117	0.1186617237
118	0.1184817844
119	0.1182223133
120	0.1181906372
121	0.1181557568
122	0.1181042135
123	0.1178899888
124	0.1177943721
125	0.1177767258
126	0.1177534845
127	0.1177191057
128	0.1176944978
129	0.117679449
130	0.1176452953
131	0.1176144538
132	0.1175952647
133	0.1175778185
134	0.1175452025
135	0.1175101443
136	0.1174695582
137	0.1174524228
138	0.1174273515
139	0.1174098264
140	0.1173769957
141	0.1173583884
142	0.1173432119
143	0.1173236212
144	0.1172838303
145	0.1172734405
146	0.1172451439
147	0.1172302794
148	0.1171878634
149	0.1170993846
150	0.1170710827
151	0.117051646
152	0.1170361325
153	0.1170146974
154	0.1169985282
155	0.1169336595
156	0.1169198008
157	0.116895992
158	0.116881117
159	0.1168597135
160	0.1168403189
161	0.1168178267
162	0.1167941759
163	0.1167677197
164	0.1167465506
165	0.1167273877
166	0.116710505
167	0.1166978693
168	0.1166802192
169	0.11666895
170	0.1166386325
171	0.1166189036
172	0.1165707898
173	0.1165404315
174	0.1165110474
175	0.1164699413
176	0.1164352386
177	0.1164215076
178	0.1163900764
179	0.1163699854
180	0.1163320349
181	0.1162835328
182	0.1161585385
183	0.1161323996
184	0.1161152576
185	0.1160929641
186	0.116081088
187	0.1160590724
188	0.1160409008
189	0.1160300293
190	0.1160086363
191	0.1159960612
192	0.1159852817
193	0.1159297903
194	0.1159032262
195	0.1158934617
196	0.1158682865
197	0.1158535049
198	0.1157933505
199	0.1157724947
200	0.1157630567
201	0.11569026
202	0.115677627
203	0.1156630047
204	0.1156412234
205	0.1155542547
206	0.1154710445
207	0.1153985388
208	0.1153795431
209	0.1153568942
210	0.1153379328
211	0.1153288411
212	0.1153168413
213	0.1153091109
214	0.1152851626
215	0.1152691172
216	0.1152524465
217	0.1152403387
218	0.1152266301
219	0.1152112587
220	0.1152035204
221	0.1151825355
222	0.1151720326
223	0.1151549853
224	0.1151321942
225	0.1151185962
226	0.1150927719
227	0.1150718239
228	0.1150591645
229	0.1150452334
230	0.1150350267
231	0.1150140365
232	0.114996697
233	0.1149898579
234	0.114970778
235	0.1149615467
236	0.1149462386
237	0.1149277445
238	0.1149138015
239	0.1148989936
240	0.1148721359
241	0.1148570015
242	0.1148457877
243	0.1148403229
244	0.1148239326
245	0.114808943
246	0.1147979016
247	0.1147887573
248	0.1147716574
249	0.1147608569
250	0.1147467296
251	0.1147106459
252	0.1146962093
253	0.1146809064
254	0.1146687367
255	0.1146527532
256	0.1146317868
257	0.1146223897
258	0.1146053714
259	0.1145913494
260	0.1145819905
261	0.1145702737
262	0.1145605936
263	0.1145508318
264	0.1145441388
265	0.1145320336
266	0.1145178774
267	0.1144919754
268	0.1144873783
269	0.1144796899
270	0.1144648268
271	0.114453634
272	0.1144400293
273	0.1144291301
274	0.114411235
275	0.1144015983
276	0.1143541428
277	0.114328096
278	0.1143208869
279	0.1143054129
280	0.1142977509
281	0.1142876179
282	0.1142765988
283	0.1142583588
284	0.114236958
285	0.1142256361
286	0.1142130966
287	0.114203523
288	0.1141960427
289	0.1141677922
290	0.1141565401
291	0.1141349115
292	0.1141172284
293	0.1141019834
294	0.1140646741
295	0.1140494646
296	0.1140365156
297	0.1140155466
298	0.1139927449
299	0.1139790784
300	0.1139703001
301	0.1139511043
302	0.1139418968
303	0.113928096
304	0.1139184303
305	0.1139063976
306	0.1138882998
307	0.1138733695
308	0.1138487037
309	0.1138311154
310	0.1138255269
311	0.1138105255
312	0.1137966167
313	0.1137800526
314	0.1137707911
315	0.1137600999
316	0.1137400419
317	0.1137022862
318	0.1136909104
319	0.1136380862
320	0.1136107506
321	0.1136007505
322	0.1135904951
323	0.1135714125
324	0.1135560991
325	0.1135359041
326	0.1135236555
327	0.113512019
328	0.1134984868
329	0.1134922954
330	0.1134855246
331	0.1134735828
332	0.1134644871
333	0.1134412063
334	0.1134291828
335	0.1134195487
336	0.1133730147
337	0.1133629225
338	0.113338466
339	0.1133197863
340	0.1133034618
341	0.1132926495
342	0.1132660182
343	0.1132253663
344	0.1132167354
345	0.1131942747
346	0.1131749131
347	0.1131683912
348	0.1131616995
349	0.113143545
350	0.1131153458
351	0.1131068255
352	0.1130619647
353	0.1130422463
354	0.1130319369
355	0.113022183
356	0.1130121132
357	0.1129877041
358	0.1129758925
359	0.1129677751
360	0.1129573261
361	0.112942534
362	0.112930804
363	0.1129188648
364	0.1129128655
365	0.1129051693
366	0.1128985553
367	0.1128861065
368	0.1128797321
369	0.1128609102
370	0.1128466763
371	0.112831821
372	0.1128203557
