iter	Passed	Remaining
0	149	149450
1	192	95874
2	234	77952
3	277	69054
4	320	63709
5	362	60129
6	402	57111
7	447	55513
8	489	53855
9	529	52437
10	567	50993
11	606	49945
12	647	49145
13	684	48201
14	724	47555
15	762	46906
16	803	46453
17	845	46122
18	890	45993
19	935	45828
20	1001	46686
21	1061	47180
22	1106	46989
23	1151	46825
24	1195	46625
25	1245	46645
26	1286	46354
27	1326	46039
28	1366	45748
29	1401	45329
30	1439	44999
31	1477	44681
32	1516	44427
33	1556	44227
34	1594	43976
35	1635	43784
36	1674	43594
37	1715	43427
38	1756	43275
39	1797	43134
40	1835	42939
41	1875	42772
42	1916	42654
43	1957	42533
44	1998	42417
45	2035	42212
46	2077	42116
47	2132	42297
48	2176	42243
49	2233	42437
50	2273	42310
51	2333	42532
52	2386	42642
53	2432	42611
54	2484	42686
55	2528	42622
56	2572	42557
57	2618	42533
58	2665	42518
59	2718	42587
60	2764	42551
61	2811	42532
62	2854	42453
63	2895	42343
64	2937	42254
65	2974	42093
66	3011	41937
67	3048	41779
68	3082	41598
69	3120	41462
70	3156	41295
71	3192	41150
72	3226	40969
73	3267	40888
74	3303	40749
75	3354	40788
76	3392	40671
77	3429	40532
78	3465	40406
79	3502	40283
80	3540	40171
81	3579	40076
82	3615	39948
83	3651	39819
84	3690	39730
85	3727	39618
86	3765	39517
87	3802	39403
88	3840	39316
89	3881	39246
90	3920	39161
91	3962	39111
92	4003	39040
93	4042	38960
94	4083	38903
95	4123	38826
96	4163	38761
97	4206	38713
98	4245	38638
99	4287	38590
100	4328	38525
101	4361	38400
102	4400	38321
103	4440	38252
104	4480	38190
105	4521	38132
106	4563	38082
107	4604	38025
108	4640	37933
109	4680	37870
110	4722	37819
111	4758	37729
112	4793	37628
113	4831	37553
114	4868	37467
115	4906	37392
116	4947	37340
117	4985	37266
118	5027	37219
119	5067	37163
120	5109	37116
121	5149	37059
122	5185	36975
123	5225	36914
124	5259	36813
125	5298	36756
126	5337	36688
127	5377	36631
128	5418	36583
129	5461	36548
130	5500	36488
131	5542	36446
132	5581	36387
133	5616	36295
134	5655	36235
135	5694	36178
136	5734	36124
137	5778	36093
138	5826	36088
139	5876	36097
140	5927	36111
141	5970	36076
142	6016	36056
143	6065	36057
144	6113	36047
145	6159	36025
146	6198	35969
147	6247	35964
148	6295	35954
149	6344	35950
150	6389	35926
151	6438	35918
152	6480	35874
153	6525	35845
154	6568	35808
155	6610	35765
156	6653	35724
157	6692	35663
158	6735	35625
159	6777	35582
160	6822	35553
161	6866	35517
162	6906	35466
163	6951	35435
164	6993	35391
165	7033	35337
166	7076	35297
167	7119	35258
168	7162	35219
169	7207	35189
170	7249	35145
171	7293	35110
172	7333	35055
173	7378	35026
174	7425	35005
175	7464	34948
176	7510	34921
177	7556	34893
178	7601	34866
179	7645	34831
180	7686	34779
181	7732	34755
182	7777	34722
183	7818	34674
184	7859	34624
185	7902	34583
186	7943	34537
187	7980	34467
188	8023	34427
189	8065	34386
190	8111	34357
191	8151	34303
192	8193	34260
193	8234	34211
194	8273	34153
195	8317	34117
196	8360	34077
197	8407	34053
198	8456	34038
199	8500	34001
200	8549	33984
201	8597	33966
202	8643	33936
203	8694	33926
204	8744	33911
205	8794	33898
206	8842	33875
207	8912	33936
208	8964	33926
209	9043	34022
210	9086	33976
211	9167	34075
212	9215	34051
213	9252	33983
214	9293	33931
215	9338	33896
216	9382	33855
217	9424	33805
218	9459	33734
219	9497	33672
220	9541	33632
221	9588	33603
222	9639	33586
223	9709	33637
224	9811	33794
225	9904	33922
226	9973	33962
227	10052	34037
228	10122	34080
229	10174	34063
230	10246	34109
231	10302	34103
232	10352	34079
233	10408	34072
234	10461	34054
235	10514	34037
236	10557	33987
237	10612	33979
238	10661	33948
239	10711	33919
240	10759	33884
241	10807	33851
242	10875	33881
243	10926	33854
244	10975	33823
245	11033	33818
246	11094	33821
247	11151	33813
248	11199	33777
249	11245	33736
250	11298	33714
251	11347	33681
252	11401	33664
253	11452	33636
254	11497	33590
255	11548	33562
256	11603	33545
257	11654	33518
258	11711	33505
259	11764	33483
260	11811	33444
261	11868	33430
262	11919	33400
263	11984	33411
264	12040	33396
265	12093	33370
266	12144	33341
267	12194	33306
268	12249	33288
269	12301	33258
270	12353	33230
271	12401	33193
272	12449	33152
273	12503	33129
274	12554	33098
275	12604	33062
276	12654	33030
277	12705	32996
278	12754	32960
279	12800	32914
280	12844	32865
281	12895	32834
282	12945	32797
283	12994	32759
284	13047	32732
285	13098	32700
286	13146	32660
287	13189	32608
288	13240	32574
289	13299	32560
290	13374	32585
291	13429	32562
292	13485	32540
293	13535	32503
294	13588	32473
295	13642	32445
296	13683	32388
297	13724	32330
298	13769	32282
299	13821	32249
300	13866	32202
301	13913	32156
302	13962	32118
303	14011	32079
304	14059	32036
305	14098	31975
306	14146	31934
307	14193	31888
308	14238	31840
309	14286	31799
310	14337	31763
311	14388	31728
312	14440	31694
313	14481	31638
314	14530	31597
315	14576	31552
316	14628	31518
317	14676	31475
318	14720	31426
319	14768	31383
320	14814	31337
321	14864	31298
322	14911	31253
323	14955	31203
324	14999	31153
325	15043	31102
326	15087	31051
327	15137	31013
328	15186	30972
329	15236	30934
330	15287	30897
331	15332	30849
332	15391	30828
333	15441	30791
334	15489	30747
335	15534	30698
336	15581	30654
337	15626	30606
338	15674	30563
339	15736	30547
340	15784	30505
341	15837	30471
342	15889	30434
343	15939	30396
344	15991	30361
345	16042	30323
346	16096	30290
347	16148	30255
348	16204	30227
349	16259	30195
350	16307	30152
351	16360	30117
352	16415	30086
353	16471	30058
354	16522	30020
355	16578	29991
356	16631	29955
357	16688	29927
358	16741	29891
359	16794	29856
360	16847	29821
361	16903	29791
362	16960	29763
363	17012	29725
364	17060	29680
365	17124	29664
366	17188	29647
367	17249	29624
368	17312	29604
369	17366	29569
370	17420	29535
371	17473	29497
372	17523	29456
373	17576	29419
374	17626	29377
375	17676	29336
376	17730	29299
377	17779	29256
378	17828	29213
379	17884	29179
380	17930	29131
381	17980	29089
382	18034	29052
383	18085	29011
384	18134	28968
385	18179	28917
386	18230	28876
387	18281	28835
388	18327	28787
389	18378	28746
390	18432	28708
391	18483	28667
392	18532	28623
393	18579	28577
394	18626	28529
395	18679	28490
396	18731	28450
397	18781	28408
398	18832	28366
399	18884	28327
400	18934	28282
401	18986	28243
402	19039	28205
403	19091	28165
404	19145	28126
405	19197	28086
406	19241	28034
407	19294	27996
408	19346	27954
409	19396	27911
410	19448	27870
411	19497	27826
412	19551	27788
413	19604	27749
414	19649	27699
415	19698	27654
416	19747	27608
417	19797	27564
418	19845	27518
419	19895	27474
420	19942	27427
421	19991	27381
422	20042	27339
423	20088	27290
424	20148	27259
425	20200	27219
426	20251	27175
427	20302	27132
428	20354	27092
429	20406	27050
430	20457	27007
431	20502	26957
432	20553	26913
433	20602	26868
434	20650	26821
435	20702	26780
436	20755	26740
437	20807	26698
438	20855	26650
439	20911	26614
440	20961	26570
441	21008	26521
442	21054	26473
443	21113	26439
444	21181	26417
445	21243	26387
446	21295	26345
447	21348	26304
448	21391	26250
449	21445	26210
450	21494	26164
451	21548	26124
452	21608	26092
453	21665	26056
454	21722	26019
455	21774	25976
456	21820	25927
457	21868	25879
458	21925	25842
459	21973	25794
460	22025	25752
461	22080	25712
462	22134	25672
463	22177	25618
464	22223	25568
465	22273	25523
466	22323	25478
467	22374	25434
468	22424	25389
469	22473	25342
470	22526	25300
471	22570	25248
472	22619	25201
473	22668	25154
474	22721	25113
475	22771	25067
476	22817	25017
477	22869	24974
478	22918	24927
479	22969	24883
480	23013	24831
481	23060	24782
482	23102	24728
483	23147	24677
484	23194	24629
485	23244	24584
486	23297	24540
487	23345	24493
488	23389	24441
489	23438	24395
490	23484	24345
491	23530	24295
492	23578	24247
493	23623	24197
494	23671	24149
495	23718	24100
496	23768	24055
497	23816	24007
498	23864	23960
499	23915	23915
500	23959	23864
501	24010	23819
502	24060	23773
503	24110	23727
504	24161	23682
505	24203	23629
506	24249	23580
507	24298	23533
508	24345	23484
509	24393	23436
510	24440	23388
511	24487	23339
512	24531	23287
513	24573	23235
514	24620	23186
515	24667	23137
516	24714	23088
517	24762	23041
518	24813	22996
519	24863	22950
520	24910	22902
521	24955	22852
522	25004	22804
523	25054	22759
524	25101	22711
525	25147	22661
526	25193	22611
527	25239	22562
528	25288	22515
529	25334	22466
530	25381	22418
531	25428	22369
532	25473	22319
533	25520	22270
534	25571	22225
535	25618	22177
536	25664	22127
537	25707	22076
538	25753	22026
539	25800	21978
540	25846	21928
541	25894	21881
542	25941	21832
543	25988	21784
544	26034	21735
545	26080	21686
546	26126	21636
547	26172	21587
548	26216	21536
549	26261	21486
550	26306	21436
551	26353	21388
552	26399	21339
553	26446	21291
554	26491	21240
555	26534	21189
556	26577	21138
557	26615	21082
558	26657	21030
559	26703	20981
560	26747	20931
561	26787	20877
562	26833	20828
563	26879	20779
564	26923	20728
565	26966	20677
566	27011	20628
567	27053	20575
568	27096	20524
569	27139	20473
570	27179	20420
571	27223	20369
572	27266	20318
573	27310	20269
574	27352	20217
575	27393	20164
576	27431	20110
577	27476	20060
578	27522	20011
579	27570	19964
580	27613	19913
581	27659	19865
582	27706	19817
583	27747	19765
584	27795	19718
585	27843	19671
586	27891	19623
587	27939	19576
588	27990	19531
589	28041	19486
590	28088	19438
591	28134	19390
592	28182	19342
593	28227	19293
594	28274	19245
595	28321	19197
596	28367	19149
597	28414	19101
598	28459	19052
599	28504	19003
600	28544	18950
601	28587	18899
602	28636	18853
603	28684	18806
604	28728	18756
605	28780	18711
606	28828	18664
607	28878	18619
608	28925	18571
609	28975	18525
610	29026	18480
611	29081	18437
612	29138	18395
613	29192	18352
614	29238	18304
615	29283	18254
616	29325	18203
617	29372	18155
618	29418	18107
619	29464	18059
620	29507	18008
621	29550	17958
622	29595	17909
623	29640	17860
624	29682	17809
625	29732	17763
626	29775	17713
627	29824	17666
628	29870	17618
629	29918	17571
630	29963	17522
631	30014	17476
632	30062	17429
633	30108	17381
634	30155	17333
635	30200	17284
636	30246	17236
637	30294	17189
638	30341	17141
639	30387	17092
640	30433	17044
641	30473	16992
642	30519	16944
643	30568	16897
644	30614	16850
645	30660	16801
646	30702	16751
647	30747	16702
648	30792	16653
649	30836	16604
650	30879	16554
651	30927	16507
652	30974	16459
653	31018	16410
654	31065	16362
655	31114	16316
656	31166	16271
657	31219	16226
658	31275	16183
659	31327	16138
660	31370	16088
661	31420	16042
662	31467	15994
663	31509	15944
664	31556	15896
665	31603	15849
666	31650	15801
667	31695	15752
668	31742	15705
669	31792	15658
670	31840	15611
671	31888	15564
672	31934	15516
673	31982	15469
674	32031	15422
675	32077	15374
676	32126	15327
677	32175	15280
678	32223	15233
679	32266	15184
680	32316	15137
681	32366	15091
682	32414	15044
683	32457	14994
684	32506	14948
685	32550	14899
686	32596	14851
687	32645	14804
688	32687	14754
689	32733	14706
690	32778	14657
691	32824	14609
692	32871	14562
693	32911	14511
694	32958	14463
695	33001	14414
696	33050	14367
697	33096	14319
698	33145	14272
699	33193	14225
700	33239	14177
701	33286	14130
702	33332	14082
703	33376	14033
704	33423	13985
705	33466	13936
706	33513	13888
707	33561	13841
708	33606	13793
709	33647	13743
710	33692	13695
711	33737	13646
712	33785	13599
713	33830	13551
714	33877	13503
715	33924	13455
716	33966	13406
717	34010	13357
718	34048	13306
719	34087	13256
720	34135	13208
721	34180	13160
722	34229	13114
723	34275	13066
724	34327	13020
725	34375	12973
726	34421	12925
727	34458	12874
728	34505	12827
729	34555	12780
730	34603	12733
731	34650	12686
732	34699	12639
733	34742	12590
734	34783	12540
735	34828	12492
736	34875	12445
737	34922	12398
738	34969	12350
739	35014	12302
740	35062	12255
741	35110	12208
742	35159	12161
743	35206	12114
744	35253	12066
745	35300	12019
746	35345	11971
747	35391	11923
748	35434	11874
749	35483	11827
750	35532	11781
751	35581	11734
752	35624	11685
753	35668	11637
754	35715	11589
755	35761	11541
756	35807	11494
757	35852	11446
758	35899	11398
759	35945	11351
760	35992	11303
761	36038	11256
762	36082	11207
763	36129	11160
764	36175	11112
765	36221	11065
766	36269	11017
767	36316	10970
768	36363	10923
769	36408	10875
770	36453	10827
771	36498	10779
772	36545	10731
773	36586	10682
774	36632	10635
775	36678	10587
776	36723	10539
777	36765	10490
778	36802	10440
779	36843	10391
780	36887	10343
781	36933	10296
782	36977	10247
783	37022	10200
784	37064	10151
785	37109	10103
786	37155	10056
787	37200	10008
788	37245	9960
789	37287	9911
790	37325	9862
791	37368	9814
792	37410	9765
793	37451	9716
794	37497	9669
795	37541	9621
796	37599	9576
797	37661	9533
798	37709	9486
799	37758	9439
800	37804	9392
801	37849	9344
802	37896	9297
803	37944	9250
804	37993	9203
805	38040	9156
806	38087	9108
807	38130	9060
808	38183	9014
809	38231	8967
810	38289	8923
811	38335	8875
812	38382	8828
813	38425	8780
814	38470	8732
815	38518	8685
816	38565	8638
817	38610	8590
818	38655	8542
819	38699	8494
820	38742	8446
821	38789	8399
822	38834	8352
823	38881	8304
824	38926	8257
825	38969	8209
826	39010	8160
827	39053	8112
828	39098	8065
829	39142	8017
830	39194	7971
831	39246	7924
832	39296	7878
833	39343	7830
834	39388	7783
835	39437	7736
836	39484	7689
837	39535	7642
838	39587	7596
839	39632	7549
840	39680	7502
841	39731	7455
842	39782	7409
843	39831	7362
844	39885	7316
845	39936	7269
846	39984	7222
847	40034	7176
848	40086	7129
849	40138	7083
850	40188	7036
851	40239	6989
852	40292	6943
853	40341	6896
854	40389	6849
855	40440	6803
856	40490	6756
857	40536	6708
858	40588	6662
859	40638	6615
860	40689	6568
861	40740	6522
862	40784	6474
863	40835	6427
864	40888	6381
865	40939	6334
866	40985	6287
867	41032	6239
868	41082	6193
869	41131	6146
870	41183	6099
871	41235	6052
872	41295	6007
873	41369	5963
874	41422	5917
875	41477	5871
876	41530	5824
877	41582	5778
878	41632	5731
879	41684	5684
880	41738	5637
881	41790	5590
882	41839	5543
883	41894	5497
884	41942	5450
885	41993	5403
886	42046	5356
887	42098	5309
888	42151	5262
889	42202	5216
890	42254	5169
891	42305	5122
892	42351	5074
893	42401	5027
894	42455	4980
895	42509	4934
896	42559	4886
897	42611	4840
898	42665	4793
899	42716	4746
900	42767	4699
901	42819	4652
902	42869	4604
903	42916	4557
904	42964	4510
905	43012	4462
906	43061	4415
907	43109	4367
908	43158	4320
909	43210	4273
910	43262	4226
911	43315	4179
912	43366	4132
913	43413	4084
914	43459	4037
915	43505	3989
916	43553	3942
917	43603	3894
918	43652	3847
919	43699	3799
920	43747	3752
921	43794	3704
922	43845	3657
923	43897	3610
924	43949	3563
925	44001	3516
926	44050	3468
927	44097	3421
928	44142	3373
929	44189	3326
930	44237	3278
931	44285	3231
932	44333	3183
933	44372	3135
934	44421	3088
935	44485	3041
936	44533	2994
937	44577	2946
938	44621	2898
939	44660	2850
940	44700	2802
941	44746	2755
942	44789	2707
943	44834	2659
944	44873	2611
945	44912	2563
946	44953	2515
947	44995	2468
948	45045	2420
949	45097	2373
950	45139	2325
951	45179	2277
952	45219	2230
953	45256	2182
954	45293	2134
955	45332	2086
956	45371	2038
957	45408	1990
958	45445	1942
959	45479	1894
960	45519	1847
961	45562	1799
962	45600	1752
963	45636	1704
964	45677	1656
